NumCasa;Nombre;IngresoPersonal;Empleo;Edad;Sexo;EstadoCivil;NivelEducativo;Grado;barrio
1091;Pedro Alejandro Gonzalez Lopez;15500;Enfermero;54;M;Soltero;Universidad;5;Barrio Arnoldo Alemán
1171;Lucia Alejandro Martinez Hernandez;8500;Campesino;54;F;Soltero;Primaria;1;Barrio La Cruz
1288;Juan Alejandro Flores Perez;16000;Médico general;37;M;Casado;Universidad;5;Barrio El Calvario
1247;Carlos Alejandro Mendoza Martinez;0;Desempleado;75;M;Casado;Preescolar;2;Colina del Verbo
1180;Maria Alejandro Hernandez Mendoza;19000;Electricista;34;F;Casado;Secundaria;5;El Calavario
1034;Camila Alejandro Torres Gonzalez;15000;Maestro;41;F;Casado;Universidad;5;El Calavario
1042;Camila Alejandro Gonzalez Torres;0;Desempleado;62;F;Casado;Primaria;1;Colina del Verbo
1261;Juan Alejandro Ruiz Gonzalez;0;Desempleado;17;M;Soltero;Secundaria;1;Altamira del Este
1016;Valeria Alejandro Hernandez Lopez;8500;Campesino;22;F;Soltero;Técnico;1;Barrio La Cruz
1469;Maria Alejandro Hernandez Hernandez;13000;Conductor de taxi;20;F;Soltero;Técnico;1;Barrio El Rosario
1083;Kevin Alejandro Hernandez Mendoza;17000;Albañil;80;M;Casado;Secundaria;5;Sol de libertad
1167;Ana Alejandro Martinez Torres;14500;Cocinero;56;F;Casado;Primaria;1;Barrio Los Pinos
1450;Andres Alejandro Lopez Gonzalez;11500;Dependiente de tienda;77;M;Casado;Técnico;1;Monimbó
1458;Valeria Alejandro Torres Hernandez;0;Desempleado;47;F;Soltero;Primaria;1;Altamira del Este
1156;Carlos Alejandro Hernandez Gonzalez;0;Desempleado;13;M;Soltero;Secundaria;1;San Judas
1460;Luis Alejandro Castro Ruiz;0;Desempleado;25;M;Soltero;Primaria;5;San Ramón
1157;Carlos Alejandro Castro Gonzalez;15000;Maestro;73;M;Casado;Universidad;5;Baká
1337;Marta Alejandro Martinez Torres;21000;Costur`ero;66;F;Casado;Primaria;1;Barrio Medardo Andino
1304;Sofia Alejandro Gonzalez Perez;0;Desempleado;5;F;Soltero;Preescolar;1;Urbanización San Miguel
1464;Valeria Alejandro Torres Ruiz;0;Desempleado;13;F;Soltero;Secundaria;1;Barrio Obrero
1024;Camila Alejandro Hernandez Hernandez;0;Desempleado;22;F;Soltero;Técnico;1;Barrio Obrero
1355;Kevin Alejandro Perez Castro;0;Desempleado;35;M;Soltero;Preescolar;3;Colina del Verbo
1185;Miguel Alejandro Castro Hernandez;0;Desempleado;66;M;Casado;Preescolar;3;Barrio Medardo Andino
1469;Sofia Alejandro Torres Ruiz;0;Desempleado;5;F;Soltero;Preescolar;1;Barrio El Rosario
1357;Marta Alejandro Perez Lopez;0;Desempleado;19;F;Soltero;Técnico;1;Urbanización San Miguel
1304;Fernanda Alejandro Gonzalez Martinez;0;Desempleado;2;F;Soltero;Preescolar;1;Urbanización San Miguel
1293;Mario Alejandro Mendoza Flores;0;Desempleado;49;M;Casado;Preescolar;1;Colina del Verbo
1182;Elena Alejandro Perez Ruiz;0;Desempleado;65;F;Casado;Preescolar;1;Barrio El Rosario
1118;Jose Alejandro Gonzalez Lopez;10000;Vendedor;53;M;Casado;Técnico;1;Barrio Medardo Andino
1219;Jose Alejandro Torres Torres;0;Desempleado;65;M;Casado;Preescolar;2;María Auxiliadora
1445;Paula Alejandro Castro Mendoza;0;Desempleado;19;F;Soltero;Técnico;1;Barrio El Calvario
1464;Daniel Alejandro Gonzalez Flores;12000;Trabajador doméstico;31;M;Soltero;Primaria;5;Barrio Obrero
1351;Pedro Alejandro Castro Castro;0;Desempleado;22;M;Soltero;Técnico;1;El Calavario
1423;Kevin Alejandro Flores Flores;19000;Electricista;26;M;Soltero;Secundaria;5;Barrio Obrero
1449;Carlos Alejandro Perez Gonzalez;0;Desempleado;39;M;Soltero;Preescolar;3;Barrio Medardo Andino
1328;Fernanda Alejandro Perez Martinez;9000;Obrero;57;F;Soltero;Primaria;2;Barrio La Cruz
1267;Ana Alejandro Martinez Martinez;0;Desempleado;28;F;Soltero;Preescolar;3;San Ramón
1485;Ana Alejandro Ruiz Castro;9000;Obrero;35;F;Soltero;Primaria;1;Baká
1318;Kevin Alejandro Lopez Martinez;0;Desempleado;38;M;Soltero;Preescolar;1;El Calavario
1045;Paula Alejandro Hernandez Torres;9000;Obrero;21;F;Casado;Técnico;1;San Judas
1415;Pedro Alejandro Martinez Hernandez;13000;Conductor de taxi;53;M;Casado;Preescolar;2;Sol de libertad
1172;Juan Alejandro Lopez Mendoza;0;Desempleado;19;M;Soltero;Técnico;1;San Judas
1236;Valeria Alejandro Flores Mendoza;0;Desempleado;15;F;Soltero;Secundaria;1;Urbanización San Miguel
1167;Maria Alejandro Hernandez Ruiz;8500;Campesino;49;F;Soltero;Preescolar;3;Barrio Los Pinos
1199;Lucia Alejandro Perez Flores;0;Desempleado;67;F;Soltero;Primaria;1;Colina del Verbo
1448;Ana Alejandro Castro Flores;14000;Mesero;73;F;Casado;Preescolar;2;Barrio La Cruz
1089;Camila Alejandro Martinez Perez;12500;Repartidor;79;F;Soltero;Primaria;2;Barrio 19 de Julio
1206;Maria Alejandro Perez Castro;0;Desempleado;6;F;Soltero;Primaria;1;San Ramón
1407;Luis Alejandro Martinez Flores;11000;Comerciante Informal;30;M;Casado;Primaria;5;Barrio Los Pinos
1170;Carlos Alejandro Ruiz Torres;0;Desempleado;12;M;Soltero;Primaria;2;Monimbó
1120;Pedro Alejandro Perez Martinez;13500;Barbero;22;M;Soltero;Técnico;1;Barrio Guadalupe
1495;Luis Alejandro Hernandez Hernandez;10500;Cajero;68;M;Casado;Técnico;1;Monimbó
1380;Valeria Alejandro Martinez Hernandez;0;Desempleado;52;F;Casado;Primaria;1;Urbanización San Miguel
1332;Paula Alejandro Castro Ruiz;0;Desempleado;45;F;Casado;Preescolar;3;San Ramón
1436;Ana Alejandro Hernandez Flores;21000;Costur`ero;71;F;Soltero;Primaria;5;Barrio La Cruz
1049;Andres Alejandro Martinez Perez;0;Desempleado;1;M;Soltero;Preescolar;1;Barrio El Rosario
1328;Marta Alejandro Mendoza Mendoza;0;Desempleado;43;F;Soltero;Preescolar;1;Barrio La Cruz
1181;Camila Alejandro Castro Castro;0;Desempleado;11;F;Soltero;Primaria;1;19 de Julio
1463;Ana Alejandro Castro Mendoza;9000;Obrero;77;F;Casado;Primaria;1;Barrio Los Pinos
1379;Marta Alejandro Flores Martinez;0;Desempleado;35;F;Casado;Primaria;1;María Auxiliadora
1223;Sofia Alejandro Lopez Flores;9500;Técnico Agropecuario;20;F;Soltero;Técnico;3;Altamira del Este
1107;Luis Alejandro Martinez Martinez;0;Desempleado;12;M;Soltero;Primaria;1;Barrio Guadalupe
1211;Sofia Alejandro Hernandez Ruiz;0;Desempleado;7;F;Soltero;Primaria;3;Barrio Los Pinos
1452;Miguel Alejandro Perez Ruiz;0;Desempleado;6;M;Soltero;Primaria;2;Sol de libertad
1459;Luis Alejandro Mendoza Torres;0;Desempleado;34;M;Casado;Preescolar;2;Altamira del Este
1305;Juan Alejandro Perez Flores;12000;Trabajador doméstico;57;M;Soltero;Primaria;2;Monimbó
1356;Camila Alejandro Flores Gonzalez;14500;Cocinero;44;F;Soltero;Preescolar;1;Barrio El Calvario
1451;Jose Alejandro Gonzalez Perez;11500;Dependiente de tienda;28;M;Soltero;Técnico;1;Urbanización San Miguel
1097;Elena Alejandro Castro Torres;14000;Mesero;40;F;Soltero;Primaria;1;Barrio Los Pinos
1369;Elena Alejandro Martinez Flores;0;Desempleado;2;F;Soltero;Preescolar;1;19 de Julio
1447;Kevin Alejandro Gonzalez Mendoza;0;Desempleado;12;M;Soltero;Primaria;3;María Auxiliadora
1385;Paula Alejandro Perez Torres;0;Desempleado;77;F;Casado;Primaria;4;Monimbó
1019;Luis Alejandro Lopez Torres;9500;Técnico Agropecuario;49;M;Soltero;Técnico;3;Barrio 19 de Julio
1307;Ana Alejandro Castro Lopez;0;Desempleado;60;F;Soltero;Preescolar;3;Barrio 19 de Julio
1172;Juan Alejandro Martinez Flores;15000;Maestro;61;M;Casado;Universidad;5;San Judas
1308;Paula Alejandro Mendoza Lopez;11500;Dependiente de tienda;80;F;Casado;Técnico;1;María Auxiliadora
1179;Ana Alejandro Torres Ruiz;0;Desempleado;14;F;Soltero;Secundaria;1;Barrio Obrero
1224;Camila Alejandro Hernandez Martinez;0;Desempleado;8;F;Soltero;Primaria;5;Barrio El Calvario
1276;Paula Alejandro Lopez Ruiz;8500;Campesino;37;F;Casado;Primaria;4;Barrio La Cruz
